MAP_UNIT_S,MAP_UNIT_N,eco,lambda_med,lambda_05,lambda_95,strong_decline
M242Ce,Pumice Plateau Forest,10,0.9994329532898943,0.9551073025363201,1.0324451687809875,
M242Bg,Southern Oregon Cascades,8,0.981216507735601,0.924016305904008,1.0233534299687865,
M261Eb,Fredonyer Butte-Grizzly Peak,39,0.979267352188109,0.9049833592253836,1.0274382876422754,
M261Au,Rattlesnake Creek,25,0.9780346575620447,0.9153794441500324,1.0241025078825976,
M261Ab,Gasquet Mountain Ultramafics,12,0.977200712445111,0.9097143288044687,1.0261774422012593,
M261Af,Lower Salmon Mountains,16,0.9760574866633802,0.9138912763138283,1.0268567958901718,
M261Av,Rogue-Illinois Valleys and Foothills,26,0.975020098524839,0.8943741935855615,1.0280112000112966,
M261Dm,Lassen-Almanor,37,0.9727169359934669,0.9065536239557704,1.0191227523571456,
M261Aa,Siskiyou Serpentine,11,0.9710771607397486,0.9102202579442369,1.0131880766117916,
M261Dd,Blacks Mountain-Susanville Peak,31,0.9691011975002761,0.8759823171362098,1.0245595553901679,
M261Ao,Inland Siskiyous,21,0.9690256354506958,0.9179455260102396,1.0060639754145497,
M261Ay,Coastal Siskiyous,27,0.9674284026978156,0.8905788827083846,1.0193144140202883,
M261Ac,Oregon Mountain,13,0.9650033098513231,0.8808276636391114,1.0175587886669089,
M262Bm,San Jacinto Mountains,66,0.9618268245230379,0.8667530555693685,1.0207216714970186,
M261Aq,North Trinity Mountain,23,0.9610064743987172,0.8719248412240086,1.0190977933901129,
M261Ba,Eastern Franciscan,28,0.9607954060885855,0.9017158489007618,1.0041897606132062,
M261Ej,Tahoe-Truckee,47,0.9599808660089031,0.8569954360734459,1.0196942869509236,
M261Ei,Sierra Valley,46,0.9598392432523855,0.8527757895140526,1.0222037426076171,
M261Di,Medicine Lake Highlands,34,0.9597530369787719,0.8555154683001878,1.0198680136862432,
M261Aj,Upper Scott Mountains,20,0.9591224171041878,0.8907311921054427,1.005560950815797,
M261Ef,Granitic and Metamorphic Foothills,43,0.9589084678744062,0.8910992406683615,1.0084310278709065,
M242Ag,Mid-Coastal Sedimentary,2,0.9584969397987183,0.8588661018936834,1.0189593995349207,
M262Bd,San Gabriel Mountains,62,0.9575254281668354,0.852675438235983,1.0163037102837567,
M261Fb,Lower Foothills Metamorphic Belt,56,0.9569415141371717,0.8434031011785272,1.020714198824649,
M261Fa,Tuscan Flows,55,0.9563905541628839,0.8453542197340496,1.0158825679646855,
M262Bg,San Gorgonio Mountains,64,0.956275004720734,0.835921462937048,1.019016344816806,
M261Bb,Central Franciscan,29,0.9559225271802598,0.8514477286532897,1.0143112313558562,
M261Ah,Scott Valley,18,0.9558448659587944,0.8414700834958885,1.019390962539512,
M261El,Tahoe Valley,49,0.9551602799640785,0.842368935862935,1.0193381331914368,
M262Be,Upper San Gabriel Mountains,63,0.9551408600147304,0.8596813492081887,1.0126152445453083,
M242Bc,Cascade Crest Forest and Volcanic Peaks,6,0.9546236649059237,0.8533679644364746,1.0173979229997627,
M261Ek,Glaciated Batholith and Volcanic Flows,48,0.9544320365895664,0.8427622990466653,1.017459392313364,
M262Bh,Upper San Gorgornio Mountains,65,0.9542495343882967,0.8496929731238175,1.0141275268191807,
M261Gc,Fremont Pine-Fir Forest,58,0.9541932614412438,0.8486049166008542,1.0136644732917277,
M261Fe,San Emigdio Mountains,57,0.9526804221727283,0.8455166328257518,1.013626594092487,
M262Bb,Northern Transverse Ranges,61,0.9523067808386305,0.8313625373617142,1.0133902379176634,
M261Ec,Frenchman,40,0.9520231269245476,0.8437025910259772,1.0111680588475376,
M261Dl,Shingletown-Paradise,36,0.9516881975867038,0.878295004107117,1.0032425341033937,
M261Eg,Upper Foothills Metamorphic Belt,44,0.9514412299738279,0.8906074151123736,0.9972924013442976,Strong evidence for decline
M261Ap,Forks of Salmon,22,0.9494326706571523,0.8637830661443736,1.0011144011756723,
M242Be,Southern Oregon Cascade Highlands,7,0.948825403146466,0.8470666261066923,1.0111855693570113,
M261Eu,Kern Plateau,54,0.9486108017099928,0.834822570642513,1.0105509593246431,
M261Gj,Big Valley Mountains,59,0.9478490369709728,0.8236583981498057,1.0132085243400126,
M242Ah,Southern Coastal Mountains,3,0.9472443850306764,0.8322205137910255,1.011238019470698,
M261Da,Old Cascades,30,0.9460378018707293,0.8214196046281916,1.0103772424588349,
M261Dh,Medicine Lake Lava Flows,33,0.9448915974517946,0.8362696963830831,1.0057437208442117,
M261Eo,Glaciated Batholith,51,0.9420893315290133,0.8259407295576412,1.006500894583801,
M261Df,High Cascade,32,0.9413303902255268,0.8208744674511059,1.0057353957448187,
M261Dj,Hat Creek Rim,35,0.939580338788056,0.8356122657528583,0.9994828946567756,Strong evidence for decline
M261Ad,Siskiyou Mountains,14,0.9391309474296032,0.8538712066539408,0.9900709734587315,Strong evidence for decline
M261Eh,Upper Batholith and Volcanic Flows,45,0.9383984332796126,0.8526746525601223,0.9950627460129045,Strong evidence for decline
M261Ee,Bucks Lake,42,0.9381826011850654,0.8106948969129358,1.0028870937201562,
M262Ba,San Rafael-Topatopa Mountains,60,0.9381512609192483,0.8004050448865241,1.0048575369150974,
M242Cd,Ponderosa Pine-Bitterbrush Woodland,9,0.934399009057693,0.7910217328663299,1.0052174651806542,
M261Ae,Klamath River Ridges,15,0.9339493896715998,0.8448102740510169,0.9878629060544514,Strong evidence for decline
M261Ar,Trinity Mountain-Hayfork,24,0.9303789248442704,0.8397978400679972,0.9818072201473895,Strong evidence for decline
M261Ag,Upper Salmon Mountains,17,0.9219487438431972,0.8202569796597945,0.9829351501538773,Strong evidence for decline
M242Bb,Western Cascades Highland Forest,5,0.9205669691754355,0.8182376095472265,0.9790973747089098,Strong evidence for decline
M261Ed,Greenville-Graeagle,41,0.920034091619716,0.8266230340827395,0.9783871518476823,Strong evidence for decline
M242Ba,West Cascade Slope Forest,4,0.9191322164668608,0.814614533478811,0.9802236209562952,Strong evidence for decline
M261Ea,Diamond Mountains-Crystal Peak,38,0.9163467743571493,0.7736797248834253,0.9885934638886473,Strong evidence for decline
M261Ai,Eastern Klamath Mountains,19,0.9136285796041483,0.8177769971362824,0.9734519811919627,Strong evidence for decline
M261Em,Batholith and Volcanic Flows,50,0.8933950070761106,0.7808282854025725,0.966734884834429,Strong evidence for decline
M261Ep,Lower Batholith,52,0.8653992775002631,0.7517602872764833,0.9429012235242155,Strong evidence for decline
M261Eq,Upper Batholith,53,0.8342457281102214,0.6916834483019813,0.9271021251890424,Strong evidence for decline
